5
Point = 1
sun 0.0 0.0 0.0
mercury 46000000.0 0.0 0.0
venus 108000000.0 0.0 0.0
5
Point = 2
sun 0.0 0.0 0.0
mercury 46000000.0 47.0 0.0
venus 108000000.0 35.0 0.0
5
Point = 3
sun 0.0 0.0 0.0
mercury 46000000.0 19253629587.994396 0.0
venus 108000000.0 35.00000004050219 0.0
5
Point = 4
sun 0.0 0.0 0.0
mercury 46000000.0 1.5774315750864837e+19 0.0
venus 108000000.0 35.00000004050219 0.0
5
Point = 5
sun 0.0 0.0 0.0
mercury 46000000.0 1.292395416813245e+28 0.0
venus 108000000.0 35.00000004050219 0.0
